nom,code_postal,population,latitude,longitude,altitude,id_ville
Charmoy,89400,1108,47.94167,3.49111,100,428
Charny-Orée-de-Puisaye,89120,4854,47.88611,3.09556,135,429
Cheny,89400,2231,47.95278,3.53556,90,430
Chéroy,89690,1763,48.20167,2.99944,150,431
Chevannes,89240,2145,47.75195,3.49444,170,432
Courlon-sur-Yonne,89140,1191,48.33778,3.16583,70,433
Deux Rivières,89460,1272,47.68306,3.69306,120,434
Diges,89240,1059,47.72806,3.39806,220,435
Égriselles-le-Bocage,89500,1387,48.11917,3.18139,180,436
Fleury-la-Vallée,89113,1019,47.8675,3.44917,140,437
Gron,89100,1260,48.16028,3.26333,90,438
Gurgy,89250,1724,47.86611,3.56222,90,439
Héry,89550,1789,47.90167,3.62667,110,440
Joigny,89300,9055,47.98306,3.3975,100,441
Joux-la-Ville,89440,1164,47.62278,3.86222,230,442
Laroche-Saint-Cydroine,89400,1209,47.96556,3.485,90,443
Ligny-le-Châtel,89144,1211,47.90028,3.75806,130,444
Lindry,89240,1334,47.80056,3.41889,190,445
Maillot,89100,1271,48.17583,3.30806,80,446
Malay-le-Grand,89100,1635,48.175,3.34222,80,447
Michery,89140,1080,48.31,3.23639,80,448
Migennes,89400,6878,47.96611,3.51333,100,449
Monéteau,89470,4113,47.84972,3.57861,95,450
Montholon,89110,2730,47.87472,3.35111,120,451
Nailly,89100,1329,48.22333,3.22194,100,452
Paron,89100,4855,48.17778,3.25028,80,453
Perrigny,89000,1254,47.81972,3.53639,130,454
Pont-sur-Yonne,89140,3357,48.2875,3.20861,80,455
Pourrain,89240,1284,47.75639,3.41222,265,456
Rosoy,89100,1077,48.15223,3.30946,0,457
Saint-Bris-le-Vineux,89530,1024,47.74306,3.65306,170,458
Saint-Clément,89100,2813,48.21667,3.28806,70,459
Saint-Fargeau,89170,1466,47.64083,3.07056,200,460
Saint-Florentin,89600,4230,48.00111,3.72694,120,461
Saint-Georges-sur-Baulche,89000,3176,47.80611,3.53389,160,462
Saint-Julien-du-Sault,89330,2202,48.03028,3.29583,90,463
Saint-Martin-du-Tertre,89100,1553,48.21333,3.26,80,464
Saint-Valérien,89150,1806,48.17861,3.09528,165,465
Seignelay,89250,1460,47.90306,3.60028,120,466
Sens,89100,27275,48.19722,3.28583,70,467
Sergines,89140,1235,48.34222,3.26278,120,468
Soucy,89100,1546,48.24944,3.32472,100,469
Thorigny-sur-Oreuse,89260,1396,48.29333,3.40167,105,470
Tonnerre,89700,4268,47.85444,3.97583,150,471
Toucy,89130,2562,47.735,3.29444,190,472
Treigny-Perreuse-Sainte-Colombe,89520,1076,47.55083,3.18417,240,473
Les Vallées-de-la-Vanne,89320,1012,48.16667,3.42639,100,474
Valravillon,89113,1777,47.89222,3.43972,112,475
Venoy,89290,1747,47.80639,3.63861,210,476
Vergigny,89600,1501,47.97111,3.71833,100,477
Vermenton,89270,1273,47.66444,3.73472,131,478
Véron,89510,1853,48.12861,3.30889,79,479
Villeblevin,89340,1813,48.32333,3.08333,80,480
Villefargeau,89240,1101,47.78167,3.505,130,481
Villeneuve-l'Archevêque,89190,1111,48.23389,3.5575,110,482
Villeneuve-la-Guyard,89340,3470,48.34,3.06472,70,483
Villeneuve-sur-Yonne,89500,5130,48.08028,3.29778,80,484
Vinneuf,89140,1559,48.34972,3.13639,90,485
Andelnans,90400,1123,47.60278,6.86472,350,486
Bavilliers,90800,4641,47.61972,6.83222,356,487
Beaucourt,90500,4985,47.48972,6.92806,440,488
Belfort [3],90000,45646,47.64222,6.85583,361,489
Bessoncourt,90160,1304,47.64528,6.93389,355,490
Bourogne,90140,1737,47.56222,6.91972,343,491
Châtenois-les-Forges,90700,2637,47.55861,6.85,340,492
Chaux,90330,1181,47.71167,6.835,420,493
Chèvremont,90340,1566,47.62833,6.92389,350,494
Cravanche,90300,1935,47.65306,6.83028,389,495
Danjoutin,90400,3531,47.61611,6.86444,356,496
Delle,90100,5677,47.50833,6.99778,380,497
Essert,90850,3382,47.63389,6.81556,360,498
Étueffont,90170,1395,47.72222,6.92028,450,499
Évette-Salbert,90350,2022,47.67722,6.80083,400,500
Giromagny,90200,2897,47.74667,6.82139,488,501
Grandvillars,90600,2963,47.53917,6.97611,354,502
Joncherey,90100,1439,47.52528,7.0025,367,503
Lepuix,90200,1113,47.75917,6.8175,514,504
Meroux-Moval,90400,1420,47.59583,6.89639,360,505
Méziré,90120,1268,47.535,6.91944,342,506
Montreux-Château,90130,1167,47.60917,7.00389,352,507
Morvillars,90120,1098,47.54667,6.93417,350,508
Offemont,90300,4054,47.66444,6.87889,370,509
Pérouse,90160,1199,47.63694,6.89306,375,510
Roppe,90380,1042,47.66945,6.91889,360,511
Rougemont-le-Château,90110,1481,47.73556,6.96694,450,512
Trévenans,90400,1290,47.57083,6.86333,340,513
Valdoie,90300,5193,47.66722,6.8425,375,514
Vézelois,90400,1026,47.60889,6.91472,366,515
